index,time,cost,value
0,269.6044071612393,82.18679199999998,175.89559958061963
10,264.40056019306445,80.354678,172.37761909653221
20,262.75440605446494,81.039856,171.89713102723246
30,262.75440605446494,81.039856,171.89713102723246
40,255.3007663709901,76.52646400000003,165.91361518549508
50,255.3007663709901,76.52646400000003,165.91361518549508
60,255.3007663709901,76.52646400000003,165.91361518549508
70,255.3007663709901,76.52646400000003,165.91361518549508
80,255.3007663709901,76.52646400000003,165.91361518549508
90,255.3007663709901,76.52646400000003,165.91361518549508
